;Tourist_Spot;Address;Zipcode;Lat;Long;Rating
118;SeaGlass Carousel;The Battery Manhattan, NY 10004, Lower Manhattan;10004;40.7021838;-74.0149134;4.5
119;Seaport District NYC;Pier 17, Fulton and Front Streets Manhattan, NY 10038, Lower Manhattan;10038;40.7058555;-74.00192729999999;4.6
120;Sheep Meadow, Central Park;1802 65th St Transverse, New York, NY 10065;10065;40.7717813;-73.9748418;4.8
121;Sleep No More;530 W. 27th St. Manhattan, NY 10001, Chelsea;10001;40.7505872;-74.0038546;4.2
122;Socrates Sculpture Park;32-01 Sculpture Park at Broadway Queens, NY 11106, Long Island City;11106;40.7688089;-73.93650989999999;4.3
123;Solomon R. Guggenheim Museum;1071 Fifth Ave. Manhattan, NY 10128, Upper East Side;10128;40.7829796;-73.9589706;4.3
124;South Street Seaport Museum;"Pier 16, South Street Seaport, South St. at the foot of John St.; office: 12 Fulton St. Manhattan, NY 10038, Lower Manhattan";10038;40.7064979;-74.0036463;4.1
125;Spirit of New York;Pier 61, Chelsea Piers at W. 23rd St. & 12th Avenue Manhattan, NY 10011, Chelsea;10011;40.74735500000001;-74.0083691;4.6
126;St. Patrick's Cathedral;Fifth Ave. btw. 50th-51st Sts. Manhattan, NY 10126, Midtown East;10126;40.7586117;-73.9761953;4.8
127;St. Patrick’s Old Cathedra;263 Mulberry St Manhattan, NY 10012, Nolita;10012;40.72336809999999;-73.9950618;4.7
128;St. Paul's Chapel;209 Broadway Manhattan, NY 10007, Lower Manhattan;10007;40.7113281;-74.0091831;4.6
129;Staten Island Borough Hall;10 Richmond Terrace Staten Island, NY 10301, St. George;10301;40.6424769;-74.0760188;4.7
130;Staten Island Ferry;St. George Terminal, 1 Bay St. Staten Island, NY 10301, St. George;10301;40.64409819999999;-74.0725489;4.4
131;Staten Island September 11 Memorial;St George Esplanade Staten Island, NY 10301, St. George;10301;40.6468129;-74.07651;4.6
132;Staten Island Yankees;Richmond County Bank Ballpark, 75 Richmond Terr. Staten Island, NY 10301 St. George;10301;40.6455625;-74.07719349999999;4.5
133;Staten Island Zoo;614 Broadway Staten Island, NY 10310, Staten Island;10310;40.625124;-74.11537;4.5
134;Statue of Liberty National Monument;Liberty Island, New York Harbor Manhattan, NY 10004, Battery Park City;10004;40.6897643;-74.04523669999999;4.6
135;Strawberry Fields/Imagine Mosaic;Bet 71st and 74th Sts on the Central Park West side Manhattan, NY 10023, Central Park;10023;40.7758392;-73.9747655;4.6
136;The Church of St. Luke in the Fields;487 Hudson St Manhattan, NY 10014, West Village;10014;40.7326301;-74.0066421;4.7
137;The Cyclone;834 Surf Ave Brooklyn, NY 11224, Coney Island;11224;40.575042;-73.9868963;3.0
138;The Frick Collection;1 E. 70th St. Manhattan, NY 10021 Upper East Side;10021;40.7710857;-73.9673861;4.6
139;The High Line;Gansevoort Street to West 30th Street Manhattan, NY 10011, Meatpacking District;10011;40.7524598;-74.0021101;4.7
140;The Met Breuer;945 Madison Ave. Manhattan, NY 10021, Upper East Side;10021;40.7794366;-73.963244;4.8
141;The Met Cloisters;Fort Tryon Park, 99 Margaret Corbin Dr. Manhattan, NY 10040, Washington Heights/Inwood;10040;40.8648628;-73.9317274;4.8
142;The Met Fifth Avenue;Fifth Ave. at 82nd St. Manhattan, NY 10028 ,Upper East Side;10028;;;
143;The Metropolitan Opera;Metropolitan Opera House at Lincoln Center Manhattan, NY 10023, Upper West Side;10023;40.7727076;-73.9839082;4.8
144;The Museum of Modern Art (MoMA);11 W. 53rd St. Manhattan, NY 10019, Midtown West;10019;40.7614327;-73.97762159999999;4.6
145;The New York Chinese Scholar's Garden;Snug Harbor Cultural Center & Botanical Garden, 1000 Richmond Terrace Staten Island, NY, Randall Manor;10301;40.642;-74.10427779999999;4.5
146;The New York Pass;36 W. 44th St., ste. 1407 New York, NY 10036 Midtown West;10036;;;
147;The New-York Historical Society;170 Central Park West Manhattan, NY 10024;10024;40.7793289;-73.9739087;4.5
148;The PIT;123 E 24th St Manhattan, NY, Flatiron District;10010;40.74306989999999;-73.99056039999999;4.4
149;The Plaza Hotel;Fifth Ave. at Central Park South Manhattan, NY 10019, Midtown West;10019;40.764656;-73.9744408;4.5
150;The Ride;box office: inside The Gift Shop at 584 Eighth Ave. Manhattan, NY 10018, Garment District;10018;40.7549998;-73.9911523;4.5
151;The Rink at Rockefeller Center;One Rockefeller Plaza Manhattan, NY 10020, Midtown West;10020;40.7586996;-73.978375;4.4
152;The Riverside Church New York City;490 Riverside Dr. Manhattan, NY 10027, Morningside Heights;10027;40.8119008;-73.9630756;4.6
153;The Tenement Museum;103 Orchard St. Manhattan, NY 10002, Lower East Side;10002;40.718818;-73.9900876;4.6
154;The Thunderbolt;W. 16th St. and the Boardwalk Brooklyn, NY 11224, Coney Island;11224;40.5730298;-73.9821213;4.4
155;The Tour at NBC Studios;30 Rockefeller Plaza Manhattan, NY 10112, Midtown West;10112;40.7593651;-73.98009789999999;4.6
156;The Town Hall;123 W. 43rd St. Manhattan, NY 10036, Times Square/Theatre District;10036;40.7560527;-73.98452999999999;4.5
157;Theodore Roosevelt Birthplace;28 E. 20th St. Manhattan, NY 10003, Gramercy;10003;40.738695;-73.9889267;4.6
158;Times Square;Broadway Manhattan, NY 10036, Times Square/Theatre District;10036;40.7579747;-73.9855426;4.7
159;Top of the Rock Observation Deck;30 Rockefeller Plaza Manhattan, NY 10112, Midtown West;10112;40.7593495;-73.9794087;4.7
160;Turtle Pond;New York, NY 10024, Central Park;10024;40.7790951;-73.9670148;5.0
161;Underpenny Plane and Cast Iron Museum;10-13 50th Ave. Queens, NY 11101, Long Island City;11101;40.7426932;-73.95338799999999;4.8
162;United Nations;First Ave. at 46th St. Manhattan, NY 10017, Midtown East;10017;40.75264180000001;-73.9713628;4.6
163;United Palace House of Inspiration;4140 Broadway Manhattan, NY 10033, Washington Heights/Inwood;10033;40.846539;-73.9379235;4.5
164;USTA Billie Jean King National Tennis Center;Flushing Meadows Corona Park Queens, NY 11368, Flushing;11368;40.7503676;-73.8456118;4.7
165;Van Cortlandt House Museum;Van Cortlandt Park, Broadway @ 246th St. Bronx, NY 10471, Fordham;10471;40.8911186;-73.8948241;4.7
166;Verrazano-Narrows Bridge;Verrazano-Narrows Bridge, Staten Island, NY;11209;40.6066162;-74.0446602;4.2
167;Victorian Gardens Amusement Park (Central Park);Wollman Rink in Central Park, enter park at 59th St. and Sixth Ave. Manhattan, NY 10065, Central Park;10065;40.76777939999999;-73.97446630000002;4.2
168;VR World NYC;4 E. 34 St. Manhattan, NY 10022 Murray Hill;10022;40.74793;-73.9839898;4.2
169;Wall Street;Wall St. Manhattan, NY 10006, Lower Manhattan;10006;40.707491;-74.0116385;4.5
170;Washington Square Park;W 4th St to Waverly Pl Manhattan, NY 10003, Greenwich Village;10003;40.7308838;-73.997332;4.6
171;Waterfront at Brookfield Place;230 Vesey St. Manhattan, NY 10281, Battery Park City;10281;40.7127168;-74.01528239999999;4.6
172;Wave Hill;675 W. 252nd St. Bronx, NY 10471, Riverdale;10471;40.8978516;-73.91144489999999;4.7
173;Wildlife Conservation Society;2300 Southern Blvd. Bronx, NY 10460, The Bronx;10460;40.8502791;-73.8784699;4.2
174;Williamsburg Bridge;Williamsburg, New York, NY 11104;11104;40.7135955;-73.9719618;4.5
175;Woodlawn Cemetery;"Webster Ave. & E. 233rd St.; second entrance: Jerome Ave. at Bainbridge Ave. Bronx, NY 10470, Woodlawn";10470;40.888249;-73.872023;4.4
176;World Trade Center Transportation Hub;New York, NY, Lower Manhattan;10007;40.7126452;-74.00989799999999;4.7
177;Wyckoff Farmhouse Museum;5816 Clarendon Rd. Brooklyn, NY 11203, Midwood;11203;40.6443479;-73.92082839999999;4.5
178;African Burial Ground National Monument;290 Broadway Manhattan, NY 10007, Tribeca;10007;40.7145494;-74.0043289;4.7
179;Manhattan Bridge;Enter at Bowery between Canal and Bayard Streets (Manhattan side) Manhattan, NY 10002, Manhattan;10002;40.7074959;-73.99077419999999;4.6
180;Conservatory Garden;Fifth Ave and 105th St Manhattan, NY 10029, Central Park;10029;40.7936928;-73.9524588;4.8
181;Mount Vernon Hotel Museum & Garden;421 E. 61st St. Manhattan, NY 10065, Upper East Side;10065;40.7605042;-73.9597668;4.5
182;St. George Theatre;35 Hyatt St. Staten Island, NY 10301, St. George;10301;40.6419566;-74.0773972;4.6
183;Explorer Pass;151 W 34th St, New York, NY 10001;10001;40.7484405;-73.98566439999999;4.7
184;Wollman Rink;near 59th St. & Sixth Ave. within Central Park Manhattan, NY 10021, Central Park;10021;40.7677792;-73.9744673;4.3
185;Friedsam Memorial Carousel;Mid-park at 64th St Manhattan, NY 10023, Central Park;10023;;;
186;Japan Society;333 E. 47th St. Manhattan, NY 10017, Midtown East;10017;40.7525152;-73.9682831;4.6
187;FDNY Fire Zone Rockefeller Center ;34 West 51st Street New York, NY 10020, Midtown West;10020;40.7586083;-73.9806843;4.8
188;TimeLooper`;mail: 40 Harrison St., 3K New York, NY 10013;10013;;;
189;On Location Tours, Inc.;"Meeting Sites in Midtown Manhattan; mail: 555 Eighth Ave., ste. 2003 Manhattan, NY 10018, Times Square/Theatre District";10018;;;
190;Snug Harbor Cultural Center & Botanical Garden;1000 Richmond Terr. Staten Island, NY 10301;10301;40.6433718;-74.1027431;4.5
191;Voilà Chocolat;221 W. 79th St. Manhattan, NY 10024, Upper West Side;10024;40.7822478;-73.9757935;4.6
192;Central Park Zoo;830 Fifth Ave. (southeast corner of Central Park) Manhattan, NY 10021, Central Park;10021;40.767778;-73.9718335;4.4
193;Asser Levy/Seaside Park;W 5th St Brooklyn, NY 11224, Coney Island;11224;40.5751863;-73.9713897;4.4
194;Woolworth Building;233 Broadway New York, NY 10007, Lower Manhattan;10007;40.71243;-74.0083547;4.5
195;Brookfield Place;230 Vesey St. Manhattan, NY 10281, Battery Park City;10281;40.7127168;-74.01528239999999;4.6
196;New York Mets;Citi Field, 126th St. and Roosevelt Ave. Queens, NY 11368, Flushing;11368;40.7570877;-73.8458213;4.6
197;Onassis Cultural Center New York;645 Fifth Ave. (enter on 51st St.) Manhattan, NY 10022, Midtown East;10022;40.7744146;-73.9656177;4.8
198;Official NYC Information Center–South Street Seaport;Hornblower Cruises on the East River Waterfront Esplanade at Pier 15 Manhattan, NY 10038, Lower Manhattan;10038;40.7043756;-74.0029654;4.5
199;Fort Wadsworth;210 New York Ave. Staten Island, NY 10305, Staten Island;10305;40.6038079;-74.0585589;4.6
200;Deno's Wonder Wheel Amusement Park;3059 Denos Vourderis Place (W 12th St) Brooklyn, NY 11224, Coney Island;11224;40.57333089999999;-73.9791552;4.5
201;Bethesda Terrace/Fountain;Mid-park at 72nd St. New York, NY, Central Park;10021;40.7739489;-73.9709661;4.7
202;George Washington Bridge;George Washington Bridge Manhattan, NY, Washington Heights/Inwood;07024;40.8516964;-73.9527159;4.1
203;The Public Theate;425 Lafayette St. Manhattan, NY 10003, East Village;10003;40.72907319999999;-73.9919097;4.7
204;Washington Street between Front and Water Streets;Brooklyn, NY 11205, DUMBO;11205;40.70331650000001;-73.9895698;4.8
205;Brooklyn Bridge Park;334 Furman St. Brooklyn, NY 11201, DUMBO;11201;40.6991496;-73.9976004;4.8
206;Tompkins Square Park;E 10th St, New York, NY 10009;10009;40.7262205;-73.981901;4.3
207;Lincoln Center for the Performing Arts;70 Lincoln Center Plaza Manhattan, NY 10023, Upper West Side;10023;40.7724641;-73.9834889;4.8
208;National Park Service;c/o Statue of Liberty National Monument New York, NY 10004, Battery Park City;10004;40.6892494;-74.04450039999999;4.7
209;Belvedere Castle;Central Park, midpark at 79th St Manhattan, NY, Central Park;10021;40.7794302;-73.9690677;4.5
210;Sunset Park;Bet. Fifth and Seventh Aves. and 41st and 44th Sts. Brooklyn, NY 11220, Sunset Park;11220;40.6479517;-74.0037443;4.5
211;Official NYC Information Center (Times Square);Broadway Plaza, between 43rd and 44th Streets New York, NY 10036, Times Square/Theatre District;10036;;;
212;Morris-Jumel Mansion;65 Jumel Terr. Manhattan, NY 10032, Washington Heights/Inwood;10032;40.8344548;-73.9385727;4.5
213;Conservatory Water;72nd to 75th Sts Manhattan, NY 10021 Central Park;10021;40.7742331;-73.9671147;4.6
